stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
30089,,"95th","",41.722377,-87.624342,0,40450,1
30090,,"Merchandise Mart","",41.888969,-87.633924,0,40460,1
30091,,"Merchandise Mart","",41.888969,-87.633924,0,40460,1
30092,,"Racine","",41.87592,-87.659458,0,40470,0
30093,,"Racine","",41.87592,-87.659458,0,40470,0
30094,,"Cicero-Green","",41.886519,-87.744698,0,40480,1
30095,,"Grand-Blue","",41.891189,-87.647578,0,40490,0
30096,,"Grand-Blue","",41.891189,-87.647578,0,40490,0
30099,,"Garfield-Green","",41.795172,-87.618327,0,40510,1
30100,,"Garfield-Green","",41.795172,-87.618327,0,40510,1
30101,,"Foster","",42.05416,-87.68356,0,40520,0
30102,,"Foster","",42.05416,-87.68356,0,40520,0
30103,,"Diversey","",41.932732,-87.653131,0,40530,1
30104,,"Diversey","",41.932732,-87.653131,0,40530,1
30105,,"Wilson","",41.964273,-87.657588,0,40540,0
30106,,"Wilson","",41.964273,-87.657588,0,40540,0
30107,,"Irving Park-Blue","",41.952925,-87.729229,0,40550,0
30108,,"Irving Park-Blue","",41.952925,-87.729229,0,40550,0
30109,,"Jackson-Red","",41.878153,-87.627596,0,40560,1
30110,,"Jackson-Red","",41.878153,-87.627596,0,40560,1
30111,,"California-O'Hare","",41.921939,-87.69689,0,40570,0
30112,,"California-O'Hare","",41.921939,-87.69689,0,40570,0
30113,,"54th/Cermak","",41.85177331,-87.75669201,0,40580,1
30114,,"54th/Cermak","",41.85177331,-87.75669201,0,40580,1
30115,,"Damen-O'Hare","",41.909744,-87.677437,0,40590,0
30116,,"Damen-O'Hare","",41.909744,-87.677437,0,40590,0
30117,,"Kostner","",41.853751,-87.733258,0,40600,1
30118,,"Kostner","",41.853751,-87.733258,0,40600,1
30119,,"Ridgeland","",41.887159,-87.783661,0,40610,0
30120,,"Ridgeland","",41.887159,-87.783661,0,40610,0
30121,,"Clark/Division","",41.90392,-87.631412,0,40630,1
30122,,"Clark/Division","",41.90392,-87.631412,0,40630,1
30125,,"North/Clybourn","",41.910655,-87.649177,0,40650,0
30126,,"North/Clybourn","",41.910655,-87.649177,0,40650,0
30127,,"Armitage","",41.918217,-87.652644,0,40660,1
30128,,"Armitage","",41.918217,-87.652644,0,40660,1
30129,,"Western-O'Hare","",41.916157,-87.687364,0,40670,1
30130,,"Western-O'Hare","",41.916157,-87.687364,0,40670,1
30131,,"Adams/Wabash","",41.879507,-87.626037,0,40680,0
